agentura,strana,logo,11/23,12/23,01/24,02/24,03/24
,ANO,https://d39-a.sdn.cz/d_39/c_img_QK_Z/KCLCh.png,"33,8","32,4","30,4","28,4","27,1"
,KDU-ČSL,https://d39-a.sdn.cz/d_39/c_img_QK_Z/giOCj.png,,,,,
,KSČM,https://d39-a.sdn.cz/d_39/c_img_QQ_a/71DCM.png,,,,,
,ODS,https://d39-a.sdn.cz/d_39/c_img_QM_Y/tI7Cd.png,,,,,
,Piráti,https://d39-a.sdn.cz/d_39/c_img_QO_Z/ohVCf.png,"11,4","11,3","11,1","11,0","10,8"
,Přísaha,https://d39-a.sdn.cz/d_39/c_img_gS_f/llQFh.png,,,,,
,SPD,https://d39-a.sdn.cz/d_39/c_img_QL_c/tUMCU.png,,,,,
,STAN,https://d39-a.sdn.cz/d_39/c_img_QO_Z/QJnDA.png,"7,3","8,1","9,3","10,4","10,9"
,TOP 09,https://d39-a.sdn.cz/d_39/c_img_QM_Y/ArzCf.png,,,,,
,SOCDEM,https://d39-a.sdn.cz/d_39/c_img_QO_Z/5oTCe.png,"3,6","3,5","3,3","3,1","3,0"
