agentura,party,logo
,ANO,https://d39-a.sdn.cz/d_39/c_img_QK_Z/KCLCh.png
,KDU-ČSL,https://d39-a.sdn.cz/d_39/c_img_QK_Z/giOCj.png
,KSČM,https://d39-a.sdn.cz/d_39/c_img_QQ_a/71DCM.png
,ODS,https://d39-a.sdn.cz/d_39/c_img_QM_Y/tI7Cd.png
,Piráti,https://d39-a.sdn.cz/d_39/c_img_QO_Z/ohVCf.png
,Přísaha,https://d39-a.sdn.cz/d_39/c_img_gS_f/llQFh.png
,SPD,https://d39-a.sdn.cz/d_39/c_img_QL_c/tUMCU.png
,STAN,https://d39-a.sdn.cz/d_39/c_img_QO_Z/QJnDA.png
,TOP 09,https://d39-a.sdn.cz/d_39/c_img_QM_Y/ArzCf.png
,ČSSD,https://d39-a.sdn.cz/d_39/c_img_QO_Z/5oTCe.png
