agentura,strana,logo,10/21,11/21,12/21,01/22,02/22,03/22,04/22,05/22,06/22,07/22,08/22,09/22,10/22,11/22,12/22,01/23,02/23,03/23,04/23,05/23,06/23,07/23,08/23,09/23,10/23,11/23,12/23,01/24,02/24,03/24,04/24,05/24,06/24,07/24,08/24,09/24,10/24,11/24,12/24,01/25,02/25,03/25,04/25,05/25
,ANO,https://www.datovazurnalistika.cz/wp-content/uploads/2025/03/ano.png,"27,1","26,9","26,7","26,5","26,2","27,0","27,7","28,4","29,0","29,7","29,9","30,0","29,7","29,8","30,4","30,8","31,2","31,8","31,9","33,1","33,7","33,4","33,2","33,2","33,7","34,0","34,1","33,7","33,7","33,3","32,9","32,5","32,1","31,7","32,2","33,2","33,8","34,1","34,0","34,1","34,0","33,1","32,6","32,3"
,KSČM,https://www.datovazurnalistika.cz/wp-content/uploads/2025/03/kscm.png,"3,6","3,4","3,0","2,7","2,3","2,3","2,4","2,6","2,7","2,7","2,7","2,3","2,3","2,9","3,2","3,1","2,9","3,0","3,1","3,3","3,1","3,2","3,4","3,7","3,3","3,2","3,6","3,8","3,7","3,8","3,7","3,9","4,3","4,6","4,7","4,7","4,8","5,2","5,3","5,4","5,5","5,6","5,6","5,7"
,Piráti,https://www.datovazurnalistika.cz/wp-content/uploads/2025/03/pirati.png,"9,2","8,3","8,0","7,8","7,5","7,4","7,3","8,8","9,9","10,0","10,0","10,0","10,5","10,2","10,0","10,1","10,1","10,1","10,6","10,8","11,0","11,1","10,6","10,1","10,1","10,6","10,7","10,9","10,6","10,4","10,2","9,8","9,3","8,5","7,8","7,1","6,5","6,3","6,2","6,1","6,1","6,3","6,2","6,3"
,Přísaha,https://www.datovazurnalistika.cz/wp-content/uploads/2025/03/prisaha.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SPD,https://www.datovazurnalistika.cz/wp-content/uploads/2025/03/spd.png,"9,6","9,7","10,1","10,5","10,9","10,6","11,0","11,4","12,0","12,3","12,4","12,1","11,9","11,8","11,3","10,3","9,3","9,0","8,8","8,8","9,1","9,0","9,5","10,0","10,1","9,9","9,6","9,6","9,2","8,7","8,7","8,0","7,4","7,3","7,2","7,3","7,2","7,3","7,4","7,8","8,2","9,3","10,9","11,8"
,STAN,https://www.datovazurnalistika.cz/wp-content/uploads/2025/03/stan.png,"7,3","11,1","10,9","10,6","10,4","9,8","8,9","7,5","6,2","5,7","5,5","5,9","5,9","6,1","6,4","6,6","6,8","6,8","6,5","6,2","6,1","6,2","6,3","6,4","6,5","6,6","6,7","6,9","7,3","7,0","7,5","8,0","8,5","9,1","9,5","10,3","10,8","10,8","11,2","11,2","11,4","11,3","10,9","10,9"
,SOCDEM,https://www.datovazurnalistika.cz/wp-content/uploads/2025/03/socdem.png,"4,6","4,1","3,8","3,4","3,1","3,1","3,5","4,6","4,8","4,6","4,3","4,0","4,2","4,1","4,2","4,4","4,5","4,5","4,4","4,1","4,1","4,3","4,1","3,9","3,8","4,0","4,0","3,8","3,7","3,7","3,6","3,2","2,9","3,0","2,9","3,0","2,9","3,0","2,8","2,6","2,5","2,7","2,9","2,7"
,SPOLU,https://www.datovazurnalistika.cz/wp-content/uploads/2025/03/spolu.png,"27,5","27,0","28,5","30,1","31,6","31,4","30,7","28,1","26,8","25,6","25,2","25,7","26,2","25,9","25,4","25,7","26,1","25,7","25,4","24,4","23,4","23,4","22,9","22,3","22,2","22,0","21,9","21,8","21,7","21,9","21,9","22,0","21,6","20,8","20,4","19,7","19,8","19,1","18,6","18,6","18,7","19,4","20,1","20,6"
,Motoristé,https://www.datovazurnalistika.cz/wp-content/uploads/2025/03/motoriste.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,9","0,9","3,0","3,7","4,2","4,9","5,3","5,4","5,5","5,6","5,2","4,5"
